Datum;Zeit;Windgeschw._13 m/s;Min;Max;Windrichtung_13 deg;Min;Max;Lufttemperatur_13 C;Min;Max;Luftfeuchtigkeit_13 %rF;Min;Max;Luftdruck_13 hPa;Min;Max;Taupunkt_13 C;Min;Max;Globalstrahlung_13 W/m2;Min;Max
01.01.2025;00:00:00;1,8;0,0;4,6;138,0;0,0;338,7;1,3;1,3;1,3;91,6;91,4;91,8;1000,3;1000,2;1000,4;0,1;0,1;0,2;0,0;0,0;0,0
01.01.2025;00:10:00;1,7;0,0;4,6;144,4;0,0;336,9;1,4;1,3;1,5;91,8;91,7;91,8;1000,3;1000,1;1000,4;0,2;0,2;0,3;0,0;0,0;0,0
01.01.2025;00:20:00;1,8;0,0;5,7;141,5;0,0;340,6;1,6;1,5;1,6;91,5;91,3;91,7;1000,2;1000,1;1000,2;0,3;0,3;0,3;0,0;0,0;0,0
01.01.2025;00:30:00;1,8;0,0;4,0;132,8;0,0;356,0;1,6;1,5;1,6;91,5;91,4;91,6;1000,1;1000,0;1000,2;0,4;0,3;0,4;0,0;0,0;0,0
01.01.2025;00:40:00;1,7;0,0;4,5;146,9;0,0;334,4;1,6;1,6;1,6;91,5;91,5;91,7;1000,1;999,9;1000,2;0,4;0,4;0,4;0,0;0,0;0,0
01.01.2025;00:50:00;1,8;0,0;5,1;159,1;0,0;353,2;1,6;1,6;1,7;91,5;91,5;91,6;999,9;999,7;1000,0;0,4;0,4;0,4;0,0;0,0;0,0
01.01.2025;01:00:00;1,9;0,0;4,7;148,2;0,0;340,3;1,7;1,6;1,7;91,6;91,4;91,6;999,9;999,8;1000,0;0,5;0,4;0,5;0,0;0,0;0,1
01.01.2025;01:10:00;2,1;0,0;7,8;147,4;0,0;335,6;1,7;1,7;1,7;91,5;91,4;91,7;999,9;999,8;1000,0;0,5;0,5;0,5;0,0;0,0;0,0
01.01.2025;01:20:00;2,3;0,0;7,2;133,8;0,0;322,6;1,7;1,7;1,7;91,7;91,6;91,7;999,8;999,7;999,8;0,5;0,5;0,5;0,0;0,0;0,1
01.01.2025;01:30:00;1,9;0,0;4,9;162,0;0,0;337,9;1,8;1,7;1,9;91,7;91,5;91,8;999,7;999,6;999,8;0,6;0,5;0,6;0,0;0,0;0,1
01.01.2025;01:40:00;1,9;0,0;4,2;133,7;0,0;331,6;1,9;1,9;1,9;91,5;91,4;91,6;999,6;999,5;999,7;0,7;0,6;0,7;0,0;0,0;0,0
01.01.2025;01:50:00;2,5;0,0;6,7;128,7;0,0;342,1;2,0;1,9;2,1;91,1;90,8;91,6;999,5;999,4;999,6;0,7;0,7;0,8;0,0;0,0;0,1
01.01.2025;02:00:00;1,9;0,0;5,4;158,5;0,0;342,8;2,0;2,0;2,1;91,0;90,8;91,3;999,5;999,4;999,5;0,8;0,7;0,8;0,0;0,0;0,0
01.01.2025;02:10:00;2,2;0,0;6,0;158,3;0,0;359,6;2,0;2,0;2,1;91,3;91,2;91,5;999,3;999,3;999,5;0,8;0,7;0,8;0,0;0,0;0,0
01.01.2025;02:20:00;2,1;0,0;5,5;139,9;0,0;320,6;2,0;2,0;2,1;91,4;91,2;91,5;999,3;999,2;999,4;0,8;0,7;0,8;0,0;0,0;0,0
01.01.2025;02:30:00;1,9;0,0;5,8;158,6;0,0;321,2;1,9;1,9;2,0;91,7;91,5;92,0;999,3;999,2;999,4;0,7;0,7;0,8;0,0;0,0;0,3
01.01.2025;02:40:00;2,4;0,0;6,2;142,8;0,0;334,2;2,0;1,9;2,0;91,6;91,4;91,9;999,3;999,2;999,4;0,8;0,7;0,8;0,3;0,0;0,6
01.01.2025;02:50:00;1,8;0,0;5,0;164,7;0,0;325,6;2,0;2,0;2,0;91,5;91,4;91,6;999,4;999,3;999,4;0,8;0,8;0,8;0,0;0,0;0,2
01.01.2025;03:00:00;1,9;0,0;4,3;138,4;0,0;340,1;2,0;2,0;2,0;91,8;91,6;91,9;999,4;999,3;999,5;0,8;0,8;0,8;0,2;0,0;0,3
01.01.2025;03:10:00;2,3;0,0;6,3;183,5;0,0;352,0;2,1;2,0;2,2;91,4;91,2;91,7;999,3;999,2;999,4;0,9;0,8;0,9;0,0;0,0;0,3
01.01.2025;03:20:00;2,2;0,0;6,5;177,6;0,0;355,6;2,1;2,1;2,2;91,3;91,1;91,6;999,3;999,2;999,4;0,9;0,8;0,9;0,1;0,0;0,4
01.01.2025;03:30:00;1,7;0,0;5,3;183,1;0,0;349,4;2,2;2,2;2,2;91,2;91,1;91,2;999,1;999,0;999,2;0,9;0,9;1,0;0,0;0,0;0,1
