timestamp,production,consumption,battery_charge,battery_discharge,grid_feedin,grid_consumption,battery_state_of_charge,direct_consumption
2025-01-01T00:00:00+01:00,0,2354,0,1,0,2352,0,0
2025-01-01T03:00:00+01:00,0,2323,0,2,0,2322,0,0
2025-01-01T06:00:00+01:00,20,2567,31,2,0,2576,0,20
2025-01-01T09:00:00+01:00,5117,2091,3139,0,48,162,6,2091
2025-01-01T12:00:00+01:00,3706,3853,1671,1791,29,55,24,3706
2025-01-01T15:00:00+01:00,163,2733,0,1735,9,844,6,163
2025-01-01T18:00:00+01:00,0,2529,0,2,0,2527,0,0
2025-01-01T21:00:00+01:00,0,2322,0,2,0,2319,0,0
2025-01-02T00:00:00+01:00,0,2307,0,3,0,2304,0,0
2025-01-02T03:00:00+01:00,0,6106,31,2,0,6134,0,0
2025-01-02T06:00:00+01:00,0,56516,121,0,0,56637,0,0
2025-01-02T09:00:00+01:00,5201,59021,0,1,0,53820,0,5201
2025-01-02T12:00:00+01:00,7359,56481,81,1,0,49201,0,7359
2025-01-02T15:00:00+01:00,1570,49048,43,1,0,47519,0,1570
2025-01-02T18:00:00+01:00,0,47537,34,2,0,47569,0,0
2025-01-02T21:00:00+01:00,0,41979,47,2,0,42025,0,0
2025-01-03T00:00:00+01:00,0,13569,111,2,0,13678,0,0
2025-01-03T03:00:00+01:00,0,14417,40,2,0,14456,0,0
2025-01-03T06:00:00+01:00,0,54022,90,1,0,54111,0,0
2025-01-03T09:00:00+01:00,6626,54227,74,1,0,47674,0,6626
2025-01-03T12:00:00+01:00,7346,51156,47,1,0,43856,0,7346
2025-01-03T15:00:00+01:00,1195,39593,53,2,0,38449,0,1195
2025-01-03T18:00:00+01:00,0,42962,30,2,0,42990,0,0
2025-01-03T21:00:00+01:00,0,33351,77,2,0,33426,0,0
2025-01-04T00:00:00+01:00,0,3470,84,2,0,3552,0,0
2025-01-04T03:00:00+01:00,0,3554,28,2,0,3581,0,0
2025-01-04T06:00:00+01:00,1,3964,137,1,0,4100,0,1
2025-01-04T09:00:00+01:00,3256,3593,966,69,15,1247,1,3256
2025-01-04T12:00:00+01:00,8586,4567,12327,0,31,8336,30,4567
2025-01-04T15:00:00+01:00,1605,4841,1323,745,35,3854,90,1605
2025-01-04T18:00:00+01:00,0,3942,0,865,0,3077,56,0
2025-01-04T21:00:00+01:00,0,3401,0,732,0,2668,28,0
2025-01-05T00:00:00+01:00,0,3456,2300,319,0,5435,20,0
2025-01-05T03:00:00+01:00,0,3451,1427,1644,0,3235,93,0
2025-01-05T06:00:00+01:00,0,3694,0,2714,0,982,74,0
2025-01-05T09:00:00+01:00,954,3169,1856,1599,1,2472,56,954
2025-01-05T12:00:00+01:00,2611,3184,5312,653,70,5306,92,2611
2025-01-05T15:00:00+01:00,103,3379,0,3229,29,76,80,103
2025-01-05T18:00:00+01:00,0,3355,0,3283,19,91,52,0
2025-01-05T21:00:00+01:00,0,3156,0,3096,19,78,26,0
2025-01-06T00:00:00+01:00,0,3157,0,1459,9,1707,4,0
2025-01-06T03:00:00+01:00,0,8540,0,2,0,8539,0,0
2025-01-06T06:00:00+01:00,0,63461,0,1,0,63461,0,0
2025-01-06T09:00:00+01:00,2393,62581,0,1,0,60187,0,2393
2025-01-06T12:00:00+01:00,3229,51040,75,2,0,47885,0,3229
2025-01-06T15:00:00+01:00,692,45371,42,2,0,44719,0,692
2025-01-06T18:00:00+01:00,0,41556,37,2,0,41591,0,0
2025-01-06T21:00:00+01:00,0,35162,77,2,0,35237,0,0
2025-01-07T00:00:00+01:00,0,13439,75,2,0,13511,0,0
2025-01-07T03:00:00+01:00,0,13826,74,1,0,13899,0,0
2025-01-07T06:00:00+01:00,159,56446,25,1,0,56310,0,159
2025-01-07T09:00:00+01:00,3858,55521,128,1,0,51790,0,3858
2025-01-07T12:00:00+01:00,8219,62601,0,2,0,54381,0,8219
2025-01-07T15:00:00+01:00,852,50424,79,2,0,49649,0,852
2025-01-07T18:00:00+01:00,0,45052,55,2,0,45104,0,0
2025-01-07T21:00:00+01:00,0,41692,59,3,0,41749,0,0
2025-01-08T00:00:00+01:00,0,16884,88,2,0,16970,0,0
2025-01-08T03:00:00+01:00,0,13654,36,2,0,13688,0,0
2025-01-08T06:00:00+01:00,54,66579,55,1,0,66579,0,54
2025-01-08T09:00:00+01:00,6002,62197,94,1,0,56287,0,6002
2025-01-08T12:00:00+01:00,10913,60692,0,2,0,49777,0,10913
2025-01-08T15:00:00+01:00,1720,51679,115,2,0,50071,0,1720
2025-01-08T18:00:00+01:00,0,42093,45,3,0,42135,0,0
2025-01-08T21:00:00+01:00,0,37822,26,3,0,37845,0,0
2025-01-09T00:00:00+01:00,0,16590,115,2,0,16703,0,0
2025-01-09T03:00:00+01:00,0,15525,50,2,0,15572,0,0
2025-01-09T06:00:00+01:00,0,62936,100,1,0,63034,0,0
2025-01-09T09:00:00+01:00,0,65256,7,3,0,65261,0,0
2025-01-09T12:00:00+01:00,0,66229,79,3,0,66305,0,0
2025-01-09T15:00:00+01:00,0,49985,77,3,0,50059,0,0
2025-01-09T18:00:00+01:00,0,48775,79,3,0,48851,0,0
2025-01-09T21:00:00+01:00,0,44061,0,4,0,44058,0,0
2025-01-10T00:00:00+01:00,0,13279,79,3,0,13355,0,0
2025-01-10T03:00:00+01:00,0,15316,53,2,0,15366,0,0
2025-01-10T06:00:00+01:00,0,61683,90,2,0,61771,0,0
2025-01-10T09:00:00+01:00,1,59599,48,3,0,59643,0,1
2025-01-10T12:00:00+01:00,3,56257,77,3,0,56329,0,3
2025-01-10T15:00:00+01:00,1,47377,79,3,0,47453,0,1
2025-01-10T18:00:00+01:00,0,46956,43,3,0,46997,0,0
2025-01-10T21:00:00+01:00,0,30383,36,3,0,30415,0,0
2025-01-11T00:00:00+01:00,0,3510,78,2,0,3586,0,0
2025-01-11T03:00:00+01:00,0,4222,47,2,0,4268,0,0
2025-01-11T06:00:00+01:00,0,5006,75,2,0,5079,0,0
2025-01-11T09:00:00+01:00,23,4315,69,2,0,4359,0,23
2025-01-11T12:00:00+01:00,173,3264,71,2,0,3160,0,173
2025-01-11T15:00:00+01:00,0,4216,51,2,0,4265,0,0
2025-01-11T18:00:00+01:00,0,3733,79,2,0,3810,0,0
2025-01-11T21:00:00+01:00,0,3532,34,2,0,3564,0,0
2025-01-12T00:00:00+01:00,0,3594,79,2,0,3671,0,0
2025-01-12T03:00:00+01:00,0,3537,7,2,0,3543,0,0
2025-01-12T06:00:00+01:00,0,3858,146,1,0,4003,0,0
2025-01-12T09:00:00+01:00,109,3322,1,2,0,3213,0,109
2025-01-12T12:00:00+01:00,248,3201,78,1,0,3029,0,248
2025-01-12T15:00:00+01:00,0,3562,78,2,0,3638,0,0
2025-01-12T18:00:00+01:00,0,3781,76,2,0,3855,0,0
2025-01-12T21:00:00+01:00,0,3569,35,2,0,3602,0,0
2025-01-13T00:00:00+01:00,0,3545,44,1,0,3588,0,0
2025-01-13T03:00:00+01:00,0,8806,79,1,0,8884,0,0
2025-01-13T06:00:00+01:00,0,48079,74,1,0,48153,0,0
