timestamp,produced_energy,consumed_energy,battery_charged_energy,battery_discharged_energy,grid_feedin_energy,grid_purchase_energy
2025-01-01T00:00:00+01:00,27056,62326,14546,10618,239,39436
2025-01-02T00:00:00+01:00,42450,958529,1070,36,0,917113
2025-01-03T00:00:00+01:00,45504,910283,1567,39,0,866307
2025-01-04T00:00:00+01:00,40401,93998,44658,7255,229,91230
2025-01-05T00:00:00+01:00,11017,80538,32657,49705,364,52837
2025-01-06T00:00:00+01:00,18968,934153,706,4322,22,911591
2025-01-07T00:00:00+01:00,39346,1018097,1477,45,0,980183
2025-01-08T00:00:00+01:00,56148,1055521,1377,51,0,1000699
2025-01-09T00:00:00+01:00,2,1109159,1519,62,0,1110615
2025-01-10T00:00:00+01:00,14,992413,1518,64,0,993853
2025-01-11T00:00:00+01:00,588,95385,1510,44,0,96262
2025-01-12T00:00:00+01:00,1076,85271,1501,40,0,85656
2025-01-13T00:00:00+01:00,10455,862176,1392,37,0,853077
2025-01-14T00:00:00+01:00,5982,1018405,1610,44,0,1013989
2025-01-15T00:00:00+01:00,11045,999465,1409,62,0,989766
2025-01-16T00:00:00+01:00,23438,1001382,1522,63,0,979403
2025-01-17T00:00:00+01:00,89195,946430,1519,65,0,858689
2025-01-18T00:00:00+01:00,75512,80956,44655,27533,11454,34019
2025-01-19T00:00:00+01:00,108158,89227,44104,31655,35638,29156
2025-01-20T00:00:00+01:00,37535,1018210,443,11933,4,969189
2025-01-21T00:00:00+01:00,113773,1010206,1500,58,0,897875
2025-01-22T00:00:00+01:00,77709,1034976,1359,56,0,958570
2025-01-23T00:00:00+01:00,38750,1026748,1560,64,0,989494
2025-01-24T00:00:00+01:00,44448,1001573,1462,63,0,958525
2025-01-25T00:00:00+01:00,26311,96311,9769,6080,0,73688
2025-01-26T00:00:00+01:00,36625,94420,15239,10778,35,62291
2025-01-27T00:00:00+01:00,76514,964147,1500,46,0,889088
2025-01-28T00:00:00+01:00,134718,1081474,1839,69,0,948526
2025-01-29T00:00:00+01:00,65076,1175790,1793,64,0,1112444
2025-01-30T00:00:00+01:00,31547,1199370,1769,152,0,1169440
2025-01-31T00:00:00+01:00,105061,1106162,2092,60,0,1003133
2025-02-01T00:00:00+01:00,183487,78815,46481,21560,114928,35178
2025-02-02T00:00:00+01:00,187554,82048,44096,35759,113349,16180
2025-02-03T00:00:00+01:00,188391,1126058,465,14573,13,923573
2025-02-04T00:00:00+01:00,171410,1192210,1520,46,0,1022274
2025-02-05T00:00:00+01:00,47005,1223594,1448,50,0,1177986
2025-02-06T00:00:00+01:00,30678,1225221,1510,62,0,1195992
2025-02-07T00:00:00+01:00,39861,1207014,1511,63,0,1168601
2025-02-08T00:00:00+01:00,157006,80535,44990,20662,88322,36179
2025-02-09T00:00:00+01:00,141375,83453,44265,35238,63043,14147
2025-02-10T00:00:00+01:00,109461,1220158,472,15076,12,1096105
2025-02-11T00:00:00+01:00,38101,1236974,1474,58,0,1200288
2025-02-12T00:00:00+01:00,136478,1225876,1352,57,0,1090692
2025-02-13T00:00:00+01:00,25762,1248741,1569,65,0,1224483
2025-02-14T00:00:00+01:00,42425,1209257,1455,60,0,1168227
2025-02-15T00:00:00+01:00,106904,570060,32075,23160,1499,473569
2025-02-16T00:00:00+01:00,237410,95830,44576,26288,152673,29382
2025-02-17T00:00:00+01:00,263456,1211382,469,11822,4,936577
2025-02-18T00:00:00+01:00,270312,1293858,1614,57,0,1025104
2025-02-19T00:00:00+01:00,221856,1293375,44500,28395,0,1087624
2025-02-20T00:00:00+01:00,165255,1281337,31474,36829,682,1111410
2025-02-21T00:00:00+01:00,217848,1213583,1462,47,0,997151
2025-02-22T00:00:00+01:00,195879,465963,44788,18461,11256,307667
2025-02-23T00:00:00+01:00,259136,72972,44513,33259,182420,7509
2025-02-24T00:00:00+01:00,119971,1132339,279,18719,46,993974
2025-02-25T00:00:00+01:00,236319,1229013,1448,54,0,994088
2025-02-26T00:00:00+01:00,143329,1207314,1469,59,0,1065395
2025-02-27T00:00:00+01:00,161527,1298396,1291,60,0,1138099
2025-02-28T00:00:00+01:00,76747,1234069,1423,65,0,1158681
2025-03-01T00:00:00+01:00,76150,76941,45572,19679,4611,31295
2025-03-02T00:00:00+01:00,350342,75521,44266,33590,274362,10217
2025-03-03T00:00:00+01:00,362741,1135660,469,17723,11,755676
2025-03-04T00:00:00+01:00,345508,1194585,1362,124,0,850316
2025-03-05T00:00:00+01:00,372097,1185365,1454,57,0,814665
2025-03-06T00:00:00+01:00,358943,1224587,1376,60,0,866961
2025-03-07T00:00:00+01:00,363814,1138716,1510,55,0,776357
2025-03-08T00:00:00+01:00,371129,68386,45394,15082,298459,26029
2025-03-09T00:00:00+01:00,359667,69823,43374,34996,283937,2471
2025-03-10T00:00:00+01:00,380470,1171310,265,19818,5,771293
2025-03-11T00:00:00+01:00,174559,1240915,1486,60,0,1067782
2025-03-12T00:00:00+01:00,180794,1223211,1335,59,0,1043694
2025-03-13T00:00:00+01:00,180333,1157048,3090,1511,7,978300
2025-03-14T00:00:00+01:00,203017,1148015,5937,4020,3,946918
2025-03-15T00:00:00+01:00,415062,68665,45405,16594,344567,26981
2025-03-16T00:00:00+01:00,425241,95270,44301,47426,336182,3086
2025-03-17T00:00:00+01:00,375224,1204004,1344,8995,9,821137
2025-03-18T00:00:00+01:00,465474,1214653,4664,2790,0,751053
2025-03-19T00:00:00+01:00,452370,1170921,1188,131,0,719609
2025-03-20T00:00:00+01:00,437410,1155089,4552,2898,1,719333
2025-03-21T00:00:00+01:00,428827,1121189,1367,328,0,693400
2025-03-22T00:00:00+01:00,332036,85650,45493,19624,248257,27740
2025-03-23T00:00:00+01:00,167693,115231,44724,47548,69274,13988
2025-03-24T00:00:00+01:00,214744,1194525,633,6511,0,973904
2025-03-25T00:00:00+01:00,356551,1202663,7706,5472,0,848346
2025-03-26T00:00:00+01:00,145926,1147972,1362,66,0,1003343
2025-03-27T00:00:00+01:00,507028,1284142,1743,311,0,778545
2025-03-28T00:00:00+01:00,508621,1259963,1302,62,0,752582
2025-03-29T00:00:00+01:00,448527,73892,45545,16694,369367,23583
2025-03-30T00:00:00+01:00,194356,91769,45454,32688,101052,11232
2025-03-31T00:00:00+02:00,320785,1182776,22111,42108,458,842451
2025-04-01T00:00:00+02:00,487405,1307299,20989,17324,181,823740
2025-04-02T00:00:00+02:00,503341,1289618,15714,12104,7,789893
2025-04-03T00:00:00+02:00,548805,1288881,19302,15226,1,744153
2025-04-04T00:00:00+02:00,538618,1171190,41316,35017,4,638875
2025-04-05T00:00:00+02:00,551419,68421,45595,12058,472931,23470
2025-04-06T00:00:00+02:00,597115,95660,40630,42642,505573,2107
2025-04-07T00:00:00+02:00,588780,1264690,14536,26009,13,664450
2025-04-08T00:00:00+02:00,561170,1359200,25536,21001,13,802577
2025-04-09T00:00:00+02:00,579911,1333316,15657,12113,4,756952
2025-04-10T00:00:00+02:00,367319,1350776,18576,15224,5,986814
2025-04-11T00:00:00+02:00,558952,1371102,13490,9840,4,815803
2025-04-12T00:00:00+02:00,575754,85720,45248,14394,487398,28219
2025-04-13T00:00:00+02:00,208664,104162,45311,36341,111024,15492
2025-04-14T00:00:00+02:00,523972,1241789,39439,56979,147,700424
2025-04-15T00:00:00+02:00,380269,1352786,2398,1248,0,973667
2025-04-16T00:00:00+02:00,137512,1398819,1522,66,0,1262763
2025-04-17T00:00:00+02:00,184367,1200008,1406,64,0,1016982
2025-04-18T00:00:00+02:00,224530,68631,45681,11636,145666,23812
2025-04-19T00:00:00+02:00,595020,65547,38608,28835,521877,2176
2025-04-20T00:00:00+02:00,502951,63384,37383,30506,435050,2361
2025-04-21T00:00:00+02:00,479390,80655,36957,27455,391605,2371
2025-04-22T00:00:00+02:00,380862,1172379,25695,47829,2073,771455
2025-04-23T00:00:00+02:00,337780,1260122,29333,24958,1787,928504
2025-04-24T00:00:00+02:00,78525,1271319,1294,62,0,1194026
2025-04-25T00:00:00+02:00,300739,1188159,10555,8098,1526,891403
2025-04-26T00:00:00+02:00,625627,70577,36836,27020,577289,32056
2025-04-27T00:00:00+02:00,685410,95492,33606,20017,596717,20388
2025-04-28T00:00:00+02:00,702435,1192608,34284,39904,27568,512122
2025-04-29T00:00:00+02:00,686441,1193097,34036,29142,54339,565889
2025-04-30T00:00:00+02:00,679260,1193224,35236,30505,29925,548621
2025-05-01T00:00:00+02:00,686159,103938,33913,17526,618403,52568
2025-05-02T00:00:00+02:00,580453,108212,33540,22249,486536,25586
2025-05-03T00:00:00+02:00,250598,84200,33531,27717,167480,6897
